dist_m,29,30-31,32-35,36-38,39-41,42-43,44-47,48+
2320,16.8,18.9,21.0,23.5,28.3,33.2,35.6,37.9
2330,17.1,19.3,21.5,24.0,29.2,33.8,36.0,38.5
2340,17.5,19.6,22.0,24.5,30.0,34.4,36.3,39.1
2350,17.9,20.0,22.5,25.0,30.8,35.0,36.6,39.7
2360,18.2,20.6,23.0,25.5,31.7,35.3,36.9,40.3
2370,18.6,21.1,23.5,26.0,32.5,35.6,37.3,40.9
2380,18.9,21.7,24.0,26.5,33.3,36.0,37.6,41.5
2390,19.3,22.2,24.5,27.0,34.2,36.3,37.9,42.1
2400,19.6,22.8,25.0,27.5,35.0,36.6,38.2,42.6
2410,20.0,23.3,25.5,28.0,35.3,36.9,38.5,43.2
2420,20.5,23.9,26.0,28.5,35.7,37.3,38.9,43.8
2430,21.0,24.4,26.5,29.0,36.0,37.6,39.2,44.4
2440,21.6,25.0,27.0,29.5,36.3,37.9,39.5,45.0
2450,22.1,25.6,27.5,30.0,36.7,38.2,39.8,46.3
2460,22.6,26.1,28.0,30.5,37.0,38.5,40.2,47.5
2470,23.1,26.7,28.5,31.0,37.3,38.9,40.5,48.8
2480,23.6,27.2,29.0,31.5,37.7,39.2,40.8,50.0
2490,24.1,27.8,29.5,32.0,38.0,39.5,41.1,50.0
2500,24.7,28.3,30.0,32.5,38.3,39.8,41.5,50.0
2510,25.2,28.9,30.5,33.0,38.7,40.2,41.8,50.0
2520,25.7,29.4,31.0,33.5,39.0,40.5,42.1,50.0
2530,26.2,30.0,31.5,34.0,39.3,40.8,42.4,50.0
2540,26.7,30.6,32.0,34.5,39.7,41.1,42.7,50.0
2550,27.2,31.1,32.5,35.0,40.0,41.5,43.1,50.0
2560,27.8,31.7,33.0,35.4,40.3,41.8,43.4,50.0
2570,28.3,32.2,33.5,35.8,40.7,42.1,43.7,50.0
2580,28.8,32.8,34.0,36.3,41.0,42.4,44.0,50.0
2590,29.3,33.3,34.5,36.7,41.3,42.7,44.4,50.0
2600,29.8,33.9,35.0,37.1,41.7,43.1,44.7,50.0
2610,30.3,34.4,35.5,37.5,42.0,43.4,45.0,50.0
2620,30.9,35.0,36.0,37.9,42.3,43.7,46.0,50.0
2630,31.4,35.5,36.4,38.3,42.7,44.0,47.0,50.0
2640,31.9,36.0,36.9,38.8,43.0,44.4,48.0,50.0
2650,32.4,36.4,37.4,39.2,43.3,44.7,49.0,50.0
2660,32.9,36.9,37.9,39.6,43.7,45.0,50.0,50.0
2670,33.4,37.4,38.3,40.0,44.0,46.3,50.0,50.0
2680,34.0,37.9,38.8,40.4,44.3,47.5,50.0,50.0
2690,34.5,38.3,39.3,40.8,44.7,48.8,50.0,50.0
2700,35.0,38.8,39.8,41.3,45.0,50.0,50.0,50.0
2710,35.4,39.3,40.2,41.7,46.0,50.0,50.0,50.0
2720,35.8,39.8,40.7,42.1,47.0,50.0,50.0,50.0
2730,36.2,40.2,41.2,42.5,48.0,50.0,50.0,50.0
2740,36.5,40.7,41.7,42.9,49.0,50.0,50.0,50.0
2750,36.9,41.2,42.1,43.3,50.0,50.0,50.0,50.0
2760,37.3,41.7,42.6,43.8,50.0,50.0,50.0,50.0
2770,37.7,42.1,43.1,44.2,50.0,50.0,50.0,50.0
2780,38.1,42.6,43.6,44.6,50.0,50.0,50.0,50.0
2790,38.5,43.1,44.0,45.0,50.0,50.0,50.0,50.0
2800,38.8,43.6,44.5,46.0,50.0,50.0,50.0,50.0
2810,39.2,44.0,45.0,47.0,50.0,50.0,50.0,50.0
2820,39.6,44.5,46.0,48.0,50.0,50.0,50.0,50.0
2830,40.0,45.0,47.0,49.0,50.0,50.0,50.0,50.0
2840,40.4,45.7,48.0,50.0,50.0,50.0,50.0,50.0
2850,40.8,46.4,49.0,50.0,50.0,50.0,50.0,50.0
2860,41.2,47.1,50.0,50.0,50.0,50.0,50.0,50.0
2870,41.5,47.9,50.0,50.0,50.0,50.0,50.0,50.0
2880,41.9,48.6,50.0,50.0,50.0,50.0,50.0,50.0
2890,42.3,49.3,50.0,50.0,50.0,50.0,50.0,50.0
2900,42.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2910,43.1,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2920,43.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2930,43.8,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2940,44.2,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2950,44.6,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2960,45.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2970,45.6,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2980,46.1,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2990,46.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0
3000,47.2,50.0,50.0,50.0,50.0,50.0,50.0,50.0
3010,47.8,50.0,50.0,50.0,50.0,50.0,50.0,50.0
3020,48.3,50.0,50.0,50.0,50.0,50.0,50.0,50.0
3030,48.9,50.0,50.0,50.0,50.0,50.0,50.0,50.0
3040,49.4,50.0,50.0,50.0,50.0,50.0,50.0,50.0
3050,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
